ID,Formula,Name/Details
1000459,- C H22 Al2 Ca4 O20 -,
1008726,- C2 H6 Cu Na2 O9 -,
1008972,- C5 H9 Ce2 O15.5 -,
1008973,- C3 H Ce O6 -,
1010817,- C H8 Be O7 -,
1011016,- C H Na O3 -,
1011295,- C H2 Na2 O4 -,
1100130,- C4 H4 Na5 O14 Yb -,
1501791,- C7 H12 O4 -,
1501792,- C36 H36 Cl Cr N2 O6 -,
1501895,- C31 H35 Cl O5 -,
1501896,- C36 H30 N2 O8 -,
1502236,- C30 H22 N4 O5 -,
1502237,- C32 H27 N3 O7 -,
1502393,- C26 H25 N O7 S -,
1502394,- C27 H23 Br N2 O7 -,
1502395,- C27 H27 N O7 S -,
1502470,- C28 H37 Br O5 -,
1502576,- C12 H14 Br N O2 -,
1502836,- C22 H19 Cl O4 -,
1502915,- C22 H32 O2 Si -,
1502916,- C13 H13 F3 O2 -,
1503171,- C25 H23 Br N O3 P S -,
1503172,- C31 H27 Br N O3 P S -,
1503432,- C20 H20 O4 -,
1503433,- C19 H17 N O4 -,
1503803,- C19 H14 O4 -,
1504218,- C26 H21 O3 -,
1504286,- C16 H20 O6 -,
1504287,- C7 H8 O4 -,
1504288,- C15 H16 O4 -,
1504431,- C35 H63 Ca N3 O2 Si2 -,
1504432,- C46 H78 Ca2 Cl2 N4 O4 -,
1506301,- C21 H24 O6 -,
1506425,- C24 H26 Cl6 N2 O4 Sn -,
1506426,- C28 H26 Cl6 N2 O3.79 Sn -,
1506427,- C24 H23 Cl N2 O2 Sn -,
1507229,- C15 H16 O2 -,
1507977,- C20 H37 N2 O P Ru -,
1508271,- C7 H10 O3 -,
1508312,- C34.5 H29 Cl3 N1.5 O6 -,
1508316,- C23 H20 N2 O4 -,
1508355,- C16 H17 Br N2 O5 -,
1508721,- C30 H38 N2 O6 S2 -,
1508722,- C19 H24 O4 -,
1508723,- C23 H31 N O5 S -,
1508724,- C26 H31 N O5 S -,
1508750,- C26 H28 N2 O6 S2 -,
1508751,- C32 H44 N2 O8 S2 -,
1511941,- C64 H31 Cl3 O12 -,
1511942,- C45 H27 O8 -,
1511943,- C207 H78 O12 -,
1511944,- C213 H24 O12 -,
1512593,- C27 H22 N2 O2 -,
1512612,- C13 H31 N5 O2 -,
1512613,- C16 H29 Cl2 N5 O8 Zn -,
1512614,- C16 H29 Cd Cl2 N5 O8 -,
1512615,- C14 H29 Cl2 N5 O9 Zn -,
1513282,- C4 H6 O3 -,
1513401,- C81 H108 F15 N15 O9 -,
1513402,- C81 H108 F15 N15 O9 -,
1514827,- C57 H72 N14 O15 -,
1515193,- C44 H38 N6 O2 S6 Zn2 -,
1515194,- C31 H47 B N6 O3 Zn -,
1515195,- C39 H30 N6 O3 S6 Zn2 -,
1515196,- C23 H19 N3 O3 S3 Zn -,
1515197,- C35 H28 N6 O3.5 S6 Zn2 -,
1515198,- C40.75 H36 N6 O2 S6 Zn2 -,
1515199,- C33 H24 N6 O3 S6 Zn2 -,
1515234,- C86 H109 F30 N16 O10 P -,
1515235,- C43 H54 F15 N8 O4 -,
1515414,- C12 H18 N2 O -,
1516125,- C31 H39 N5 O8 S2 Zn -,
1516126,- C30 H40 I N3 O4 Zn -,
1516127,- C46 H64 Cl6 N6 O7 Zn -,
1516811,- C20 H22 Br N O5 -,
1516812,- C18 H16 N2 O3 -,
1516813,- C13 H14 N2 O3 -,
1516814,- C18 H16 N2 O3 -,
1516815,- C19 H18 N2 O3 -,
1517209,- C48 H54 F6 N4 O4 Zn2 -,
1517210,- C56 H66 F6 N4 O6 Zn2 -,
1517211,- C46 H50 F6 N4 O4 Zn2 -,
1517212,- C58 H60 F6 N4 O4 Zn2 -,
1518222,- C9 H12 Cl Li O13 -,
1518223,- C6 H8 Cl Li O10 -,
1518224,- C6 H8 B F4 Li O6 -,
1518225,- C4 H4 F3 Li O6 S -,
1518226,- C16 H24 F6 Li O8 P -,
1518227,- C4 H6 Cl Li O6 -,
1518228,- C5 H8 Cl Li O6 -,
1518229,- C4 H6 B F4 Li O2 -,
1518230,- C15 H18 F9 Li3 O15 S3 -,
1518816,- C8 H16 K4 Mn O32 Ru4 -,
1518901,- C76 H79 O4 P3 Zn2 -,
1518902,- C23 H25 O P -,
1518903,- C44 H46 O2 P2 Zn2 -,
1518904,- C80 H72 O4 P4 Zn2 -,
1519847,- C9 H19 N O3 -,
1519866,- C14 H25 N3 O5 -,
1520542,- C32 H25 N O4 -,
1520611,- C22 H23 F N6 O5 -,
1520612,- C25 H29 F N6 O8 -,
1520613,- C25 H29 F N6 O8 -,
1521070,- C2 H12 Na O12 Y -,
1521470,- C H Dy O4 -,
1525961,- C2.4 H2 Ca8.4 Na0.8 O23.6 P3.6 -,
1526459,- C1.08 H4.41 Ca9.3 N0.09 O25.89 P4.95 -,
1527480,- C H6 Cu N2 O3 -,
1529295,- C39 H58 Cl Cr N2 O5 -,
1529296,- C38.5 H51 Cl4 Cr N4 O4 -,
1529297,- C38 H54 Cl Cr N2 O6 -,
1529952,- C3 H13 Gd O14 -,
1531120,- C2 H Na O7 Pb2 -,
1531669,- C H2 Cd3 O8 Se -,
1532389,- C H5.2 B22 Ca6.1 Li5 Na1.6 O47 -,
1533168,- C0.75 H0.5 Ca10 O26.75 P6 -,
1533169,- C0.5 H Ca10 O26.5 P6 -,
1534115,- C33 H25 N3 O2 -,
1534116,- C27 H20 N4 O4 -,
1536060,- C3 H4 O10 Rb4 -,
1536574,- C H44 As2 K10 Na O93 W18 Y3 -,
1536576,- C H50 As2 K10 Na O96 Sm3 W18 -,
1541361,- C4 H5 Ca1.26 Ce2.74 O16 -,
1542380,- C16 H20 O8 -,
1542381,- C16 H20 O8 -,
1542536,- C22 H16 F6 N4 O6 S2 Zn -,
1542537,- C26 H16 F6 N4 O6 S2 Zn -,
1542538,- C24 H32 F6 N8 O6 S2 Zn -,
1542603,- C13 H9 N5 O2 -,
1542640,- C28 H22 N2 O5 S -,
1542641,- C26 H21 N O4 S -,
1542642,- C28 H24 N2 O5 S -,
1542955,- C38 H60 Cl Fe N2 O3 -,
1542956,- C30.5 H45 Cl Fe N2 O2.5 -,
1543018,- C20 H19 Cl N2 O7 -,
1545233,- C26 H41 N3 O2 -,
1545270,- C18 H22 N2 O7 S -,
1545271,- C12 H14 N2 O6 -,
1545283,- C15 H18 O11 -,
1545580,- C7 H10 O5 -,
1545581,- C7 H10 O5 -,
1546224,- C25 H23 N O2 S -,
1546811,- C48 H44 Fe2 N2 O8 -,
1546812,- C20 H17 N O3 -,
1546813,- C24 H24 N2 O6 -,
1546814,- C58 H44 Fe2 N4 O10 -,
1547505,- C18 H17 N O3 -,
1547506,- C34 H33 N O7 S -,
1547527,- C31 H30 Br F N2 O8 S -,
1547528,- C27 H22 Br Cl N2 O6 S -,
1547529,- C39 H35 N O2 P2 -,
1547555,- C23 H23 Br O3 -,
1547806,- C27 H20 Br F3 O2 -,
1547825,- C19 H18 O4 -,
1547826,- C26 H25 N O5 S -,
1547827,- C24 H27 N O5 S -,
1547828,- C28 H29 N O6 S -,
1547829,- C22 H22 N2 O8 -,
1547830,- C16 H18 O4 -,
1547831,- C17 H20 O3 S -,
1547832,- C17 H21 N O3 -,
1547833,- C27 H27 N O5 S -,
1547834,- C24 H29 N O5 S -,
1548208,- C40 H54 N14 O41 W12 Zn3 -,
1548209,- C40 H54 N14 O41 W12 Zn3 -,
1548606,- C18 H18 O5 S -,
1548607,- C24 H26 O7 S -,
1548608,- C24 H25 F O7 S -,
1548609,- C24 H21 Cl O5 S -,
1548659,- C78 H78 B2 Fe2 N8 O2 P2 Zn2 -,
1550376,- C24 H22 O -,
1550377,- C24 H22 O2 -,
1550378,- C27 H23 N O2 -,
1551070,- C26 H23 N O -,
1553033,- C21 H28 N4 O -,
1553162,- C10 H9 F3 O2 S2 -,
1553449,- C32 H25 N O6 -,
1553895,- C21 H17 Br N2 O -,
1553896,- C15 H14 N2 O -,
1554358,- C20 H22 O5 -,
1554925,- C38 H31 Br Cl3 N3 O4 -,
1555113,- C33 H25 Cl N2 O5 -,
1555250,- C19 H18 O2 -,
1555917,- C19 H26 N2 O -,
1555918,- C24 H34 Br N3 O -,
1556317,- C40 H54 N2 O3 Zn -,
1556318,- C68.5 H85 N4 O9 Zn2 -,
1556369,- C17 H17 N O4 -,
1556370,- C11 H9 N O3 -,
1557258,- C34 H76 Cl4 Cu3 N12 O21 -,
1557287,- C25 H22 N2 O3 -,
1557288,- C25 H22 N2 O3 -,
1557289,- C25 H22 N2 O3 -,
1557303,- C5 H20 Cs2 Mg4 O25 -,
1558148,- C16 H26 O3 -,
1558664,- C45 H45 N5 O2 -,
1558665,- C54 H65 N6 O5 -,
1559463,- C21 H58 Cr2 I4 N10 O5 -,
1560292,- C59.5 H70 N10 Ni2 O10.5 -,
1560293,- C60 H70 Cl2 N12 Ni2 O14 -,
1560294,- C67 H88 N12 Ni2 O16 -,
1560298,- C22 H21 B F2 N2 O2 -,
1564239,- C31 H28 O3 -,
1564240,- C33 H31 N O6 -,
1564241,- C26 H27 Br N2 O3 -,
1564242,- C42 H38 N2 O6 -,
1564529,- C6 H15 N3 O3 -,
1564544,- C4 H4 B K O12 -,
1564615,- C9 H12 O6 -,
1565716,- C14 H9 N O2 S2 -,
1565763,- C18 H19 N O S2 -,
1566255,- C6 H0 Ca3 K1.952 Na0 O29.167 U2 -,
1566262,- C3 H10.492 Ca Na2 O16.246 U -,
1566562,- C34 H38 Au2 O4 P2 S2 -,
1567721,- C148 H108 Au8 O10 P6 S2 -,
1567722,- C146 H104 Au8 O4 P6 S2 -,
1567723,- C148 H108 Au8 O10 P6 S2 -,
1567724,- C146 H104 Au8 O4 P6 S2 -,
1567935,- C3 H12 Cl N2 Na3 O21 Rb6 -,
1568970,- C25 H26 Cl N O5 -,
1568971,- C31 H24 F N O4 -,
1570234,- C24 H48 Cl4 N8 O4 S8 Sn2 -,
1570857,- C9 H14 O3 -,
1570946,- C40 H46 N6 O12 Zn -,
1571418,- C48 H38 Mg N4 O -,
1572301,- C25 H22 O2 -,
1573032,- C18 H20 O4 -,
1573033,- C21 H22 O5 -,
1573034,- C33 H33 N3 O6 -,
1574053,- C30 H27 N O2 -,
1574054,- C29 H28 N2 O4 S -,
1574055,- C28 H20 F3 N O2 -,
1574056,- C36 H32 N2 O3 S -,
1574057,- C43 H34 N2 O4 -,
1574362,- C22 H24 O2 -,
1574860,- C51 H60 Eu2 N8 O25 -,
1576040,- C30 H26 Cl F2 N O4 -,
1576041,- C40 H30 F12 N4 O8 S4 Sr -,
1576042,- C30 H25 N O6 S -,
1576043,- C38 H30 N2 O3 -,
1576044,- C33 H27 N3 O3 -,
2001889,- C13 H10 O3 -,
2007875,- C19 H34 N12 Ni O8 -,
2008440,- C8 H14 Cd O2 S4 -,
2008569,- C13 H7 K3 O7 -,
2010453,- C10 H24 Cu N10 O6 -,
2010873,- C79 H110 O7 -,
2011459,- C39 H54 O4 S2 -,
2012740,- C2 H2 O8 Pb3 -,
2012988,- C7 H12 N2 Nd2 O17 -,
2013263,- C22 H24 N4 O4 -,
2013740,- C3 H Na O11.5 Rb3 U -,
2016430,- C5 H4 N6 O15 -,
2017086,- C26 H22 O6 -,
2017087,- C26 H22 O6 -,
2017088,- C26 H22 O6 -,
2017089,- C26 H22 O6 -,
2017107,- C97 H146 Fe2 N4 O3 -,
2017546,- C10 H11 N O2 S -,
2017547,- C11 H13 N O2 S -,
2017548,- C13 H17 N O2 S -,
2017549,- C12 H14 Cl N O2 S -,
2018420,- C H10 N2 O5 -,
2018421,- C H6 Cs2 O9 -,
2020424,- C9 H24 N2 O5 -,
2020641,- C21 H18 O9 -,
2020642,- C21 H18 O8 S -,
2021443,- C2 H10 Co6 O15 -,
2021734,- C39 H58 Cu2 N8 O11 S2 -,
2021988,- C2 H24 Mg2 O18 -,
2022188,- C H14 Cl2 Mg2 O10 -,
2102161,- C4 H4 O12 Y2 -,
2102162,- C4 H4 O12 Y2 -,
2102675,- C16 H16 B Li O20 -,
2103966,- C H3 Na2 O6 -,
2103967,- C H3 Na2 O6 -,
2103968,- C H3 Na2 O6 -,
2103969,- C H3 Na2 O6 -,
2103970,- C H3 Na2 O6 -,
2103971,- C H3 Na2 O6 -,
2103972,- C H3 Na2 O6 -,
2103973,- C H3 Na2 O6 -,
2103974,- C H3 Na2 O6 -,
2105989,- C H10 N2 O4 -,
2105990,- C H10 N2 O4 -,
2106226,- C H3 Na2 O6 -,
2106737,- C11 H44 Ce N18 O19 -,
2106738,- C11 H44 N18 O19 Th -,
2106739,- C5 H24 Na6 O27 Th -,
2106740,- C5 H24 Ce Na6 O27 -,
2107126,- C H2 K2 O S3 -,
2107212,- C8 H30 F3 N15 O9 Th -,
2200592,- C H3 K2 O4.5 -,
2200925,- C15 H22 N6 O4 -,
2201514,- C5 H13 O3 P -,
2201822,- C13 H8 N2 O7 -,
2201823,- C15 H10 N2 O7 -,
2201827,- C9 H8 N2 O7 -,
2204618,- C54 H80 Cl12 N4 O8 Sn2 Te2 -,
2205058,- C12 H11 N O3 S2 -,
2206056,- C17 H16 N4 O2 -,
2206147,- C32 H54 O3 -,
2206423,- C12 H12 O2 S2 -,
2206949,- C14 H19 N O4 S2 -,
2208087,- C25 H17 Cl Cu N4 O3 -,
2209233,- C15 H13 K N2 O S2 -,
2209494,- C H O4 Sm -,
2211370,- C15 H23 N O5 -,
2213868,- C13 H15 N O4 S3 -,
2215403,- C21 H20 O8 -,
2215610,- C14 H14 O4 -,
2215710,- C13 H16 O4 -,
2216105,- C13 H14 O4 -,
2216290,- C19 H18 Cd N12 O3 -,
2216553,- C11 H7 Cl N2 O5 S -,
2217090,- C20 H16 N2 O10 -,
2217091,- C20 H18 N2 O10 -,
2217587,- C14 H14 O4 -,
2217880,- C22 H16 N2 O10 -,
2217883,- C17 H23 N O5 -,
2217989,- C22 H24 N2 O10 -,
2218788,- C12 H11 N O5 -,
2222238,- C10 H10 O4 -,
2223678,- C27 H31 N O7 -,
2223683,- C21 H36 N2 O7 -,
2223729,- C16 H26 O6 -,
2227175,- C12 H13 N O3 -,
2227212,- C7 H32 Co I N6 O7 -,
2228970,- C21 H22 O5 -,
2231239,- C9 H27 N O6 -,
2234194,- C21 H36 N2 O3 -,
2236446,- C19 H17 N3 O6 -,
2236944,- C9 H19 N3 O3 -,
2236946,- C8 H17 N3 O4 -,
2237575,- C3 H16 Nd2 O17 -,
2237730,- C H3 F K2 O4 -,
2239985,- C27 H28 N2 O3 -,
2239986,- C28 H30 N2 O3 -,
2240172,- C9 H7 N O3 -,
2240173,- C10 H7 N O5 -,
2240174,- C14 H9 N O5 -,
2241093,- C11 H32 N10 O5 -,
2241911,- C14 H18 N4 O -,
2242211,- C H O3 Rb -,
2242212,- C H O3 Rb -,
2311547,- C20 H14 O6 -,
4001795,- C4 H4 Lu Na5 O14 -,
4002979,- C3 H0 Br Cs0 Lu8 N0 O25 Zn0 -,
4002980,- C3 H0 Br Cs0 N0 O25 Y8 Zn0 -,
4002982,- C3 H15 Cl O25 Y8 -,
4021408,- C3 H6 O2 S -,
4022307,- C18 H26 O5 -,
4022672,- C14 H14 O4 -,
4025823,- C14 H19 N O3 -,
4025824,- C14 H19 N O3 -,
4025825,- C22 H29 N O -,
4025826,- C26 H27 N O3 -,
4025827,- C25 H29 N O2 -,
4026179,- C28 H27 N O4 S -,
4026451,- C27 H23 Cl O4 -,
4026846,- C27 H30 Cl2 N O P Pd -,
4027157,- C23 H17 Cl N2 O5 -,
4027364,- C29 H22 Br2 N2 O5 -,
4027969,- C16 H14 O3 -,
4028234,- C19 H18 O3 S -,
4028597,- C17 H12 F N O3 -,
4028598,- C15 H10 F N O -,
4028803,- C22 H26 N O3 P -,
4029328,- C15 H18 O2 -,
4029329,- C20 H18 O3 -,
4029330,- C15 H18 O4 -,
4029541,- C22 H19 N O4 -,
4029542,- C16 H16 Cl3 N O5 -,
4029543,- C21 H21 N O5 -,
4029719,- C16 H14 Br N O3 -,
4030066,- C22 H24 Br N O -,
4030864,- C4 H4 Gd O12 -,
4031241,- C3 H16 N4 O11 U -,
4031987,- C18 H22 O6 -,
4031988,- C21 H26 F N O6 -,
4033096,- C32 H33 Br N2 O8 S -,
4033254,- C20 H17 Br F N O3 -,
4033274,- C13 H16 N2 O -,
4033337,- C18 H22 N2 O6 -,
4033338,- C18 H22 Br N O4 -,
4033339,- C22 H25 N O4 -,
4033340,- C22 H25 N O4 -,
4034742,- C26 H22 O4 -,
4034964,- C28 H26 N2 O6 S -,
4034965,- C56 H48 N4 O12 S2 -,
4034966,- C25 H22 N2 O6 S -,
4034967,- C29 H26 N2 O7 S -,
4035070,- C30 H24 N2 O5 -,
4035387,- C23 H35 I N2 O2 -,
4035427,- C39 H30 Cl2 N4 O4 -,
4035428,- C41 H38 N4 O6 -,
4035940,- C48 H48 N4 O4 S2 -,
4036099,- C28 H26 N2 O6 S -,
4037033,- C21 H17 Br N2 O3 S -,
4037159,- C19 H24 Br N O4 -,
4037200,- C24 H26 Br N O3 -,
4037201,- C21 H20 Br N O3 -,
4037294,- C29 H25 Br O3 Si -,
4037295,- C29 H25 Br O3 Si -,
4037587,- C33 H35 N O6 -,
4038081,- C27 H28 N2 O6 S -,
4038082,- C28 H28 Br N2 O5 S -,
4038536,- C17 H15 N O S -,
4060075,- C27 H41 N O P2 Ru -,
4063277,- C19 H23 F6 O3 P Ru -,
4064780,- C21.59 H44.98 Al N4 O3.8 Si2 -,
4065306,- C24 H32 Al N3 O -,
4069834,- C30 H42 B F4 N O2 Ru Si -,
4069835,- C59.25 H82.5 Cl2.5 F12 N2 O4 P2 Ru2 Si2 -,
4070431,- C12 H46 K6 O38 Sn6 -,
4075054,- C24 H27 Cl N O3 P Pd -,
4079963,- C25 H31 Al N2 O -,
4079964,- C58 H66 Al2 N4 O4 -,
4079965,- C21 H23 Al F6 N2 O6.5 S2 -,
4079966,- C26 H13 Cl2 F10 Ga N2 O -,
4081304,- C132 H186 O18 U6 -,
4081305,- C48 H70 O4 U2 -,
4082057,- C29 H31 O4 P Ru -,
4083545,- C38 H52 Cl6 N4 O6 P2 Sn2 -,
4083546,- C120 H114 Cl18 Fe6 O18 Sn6 -,
4083547,- C43 H64 Cl10 F6 N4 O10 S2 Sn2 -,
4083548,- C44 H68 N4 O7 P2 Sn2 -,
4083549,- C28.5 H38 B2 N2 O5 Sn -,
4083611,- C32 H48 Al Cl N2 O2 -,
4083612,- C64 H94 Al2 N4 O4 -,
4083613,- C64 H92 Al2 Cl4 N4 O5 -,
4083614,- C34 H52 Al Cl N2 O3 -,
4083615,- C86 H120 Al2 N4 O6 -,
4084711,- C37 H65 B2 Lu N2 O2 -,
4084712,- C33 H57 B2 N2 O Sm -,
4084713,- C37 H61 B N2 O2 Yb -,
4084714,- C66 H114 B4 N4 O2 Yb2 -,
4084715,- C37 H61 B Eu N2 O2 -,
