ID,Formula,Name/Details
7058964,- C16 H35 I N2 O4 Si -,
7058965,- C18 H39 I N2 O4 Si -,
7058966,- C18 H39 I N2 O4 Si -,
7059442,- C35 H52 Cl2 Fe N O4 S -,
7060536,- C8 H3 La O11 S -,
7060989,- C46 H46 La2 N10 O14 -,
7060990,- C48 H49 N11 O14 Pr2 -,
7060991,- C124 H131 Er5 N24 O33 -,
7060992,- C45 H46 Eu2 N10 O15 -,
7060993,- C214 H271 N43 O60 Tb10 -,
7061206,- C31 H78.5 La3 N11 O42 -,
7061207,- C23 H38 La2 N4 Na8 O42.5 -,
7061208,- C23 H41.5 Ce2 N4 Na8 O42.5 -,
7061209,- C31 H60.5 Ce3 K5 N6 O43.5 -,
7061210,- C31 H54 K5 La3 N6 O43.5 -,
7061434,- C39 H51 Dy2 Fe N16 O4 -,
7061508,- C29 H24 N4 O5 -,
7061509,- C40 H25.2 N4 O6 -,
7062973,- C132.326 H160.2 Ca4 N21.442 Ni8 O84.1 -,
7063393,- C28 H25 Br O3 -,
7063576,- C29 H30 Cl N O8 -,
7103765,- C16 H21 N O2 S -,
7103766,- C16 H21 N O2 S -,
7104122,- C75 H132 O4 Si4 U2 -,
7104223,- C23 H31 Bi O3 S -,
7104224,- C26 H36 Bi I O3 S -,
7104582,- C32 H27 N O5 S -,
7104863,- C24 H68 N16 O3 S7 -,
7104864,- C30 H72 N10 O4 S4 -,
7105223,- C87 H108 F30 N16 O9 -,
7105432,- C23 H20 Cl O3 P -,
7105503,- C62 H86 N O7 U -,
7105504,- C122 H173 O10.5 U2 -,
7105505,- C129 H182 N2 O19 U2 -,
7105506,- C128 H182 N2 O17 U2 -,
7105551,- C43.5 H110 Co N6 O47.5 -,
7105552,- C44.5 H115 Co N6 O49 -,
7105553,- C43.5 H105 Co N6 O45 -,
7105624,- C23 H43 N O3 -,
7105625,- C28 H45 N O4 -,
7106651,- C21 H17 N O4 -,
7106652,- C17 H16 Cl N O3 -,
7106653,- C14 H10 N2 O2 -,
7106654,- C21 H15 N O5 -,
7108156,- C246 H388 K6 N12 Ni6 O18 -,
7108209,- C102 H160 N6 O7 U2 -,
7108210,- C96 H138 N6 O7 U2 -,
7108211,- C106 H147 N6 O9 U2 -,
7108212,- C292 H372 K4 N12 O24 U4 -,
7108216,- C27 H23 N3 O6 -,
7109146,- C27 H20 Br N O2 -,
7109348,- C54 H108 O18 Zn12 -,
7109754,- C27 H14 F6 O3 -,
7109755,- C42 H28 F6 O6 -,
7109843,- C19 H14 Br N O3 -,
7110031,- C23 H16 Br F3 N2 O4 -,
7110429,- C104 H148.66 K2 O16.66 -,
7110577,- C97 H91 Cl11 F19 Mo6 N3 O17 P6 -,
7110578,- C97 H91 Br3 Cl8 F19 Mo6 N3 O17 P6 -,
7110579,- C93 H75 F19 I3 Mo6 N7 O15 P6 -,
7111588,- C42 H58 N2 O3 Zn -,
7111589,- C42 H56 N2 O3 Zn -,
7111996,- C196.5 H284 Co15 N13 O61 -,
7112113,- C73 H115 Cu3 N3 O40 Y6 -,
7112114,- C73 H111 Cu3 Gd6 N3 O40 -,
7112474,- C24 H25 Cl O4 -,
7112475,- C21 H23 O5 P -,
7112476,- C20 H17 N O2 -,
7112688,- C18 H16 Cl N O2 -,
7113019,- C71 H106 N16 O3 S6 -,
7113020,- C74 H166 N16 O12 S -,
7113370,- C31 H26 Mo N O7 P -,
7114504,- C23 H28 N2 O4 -,
7114633,- C20 H17 Br N2 O5 -,
7114979,- C16 H18 O5 -,
7115232,- C36 H69 Eu F18 N8 O14.5 P3 -,
7115390,- C19 H14 N2 O3 -,
7115391,- C30 H22 Br Cl2 N3 O6 -,
7115615,- C66 H101 N2 O5 Yb -,
7115616,- C66 H101 N2 O5 Y -,
7115617,- C66 H101 N2 O5 Sm -,
7115618,- C70 H109 N2 Nd O6 -,
7115931,- C19 H24 N2 O4 -,
7118335,- C70 H68 N4 O7 Zn2 -,
7119838,- C28 H26 Br N O5 S -,
7119839,- C28 H27 N O4 S -,
7120666,- C9 H19 N O3 -,
7120949,- C23 H20 O3 -,
7120950,- C23 H22 O3 -,
7121524,- C20 H14 N2 O5 -,
7121525,- C20 H14 N2 O5 -,
7121526,- C21 H19 N O3 -,
7121608,- C20 H15 Br F3 N O4 -,
7121848,- C33 H30 N2 O2 S -,
7122008,- C42 H88 Cd N4 O S6 -,
7122040,- C26 H22 Cl N O3 -,
7122403,- C51 H73 N O4 -,
7122404,- C64 H101 N3 O4 -,
7122414,- C17 H17 N O -,
7123483,- C19 H22 Br N O2 S -,
7123783,- C24.5 H32 Cl1.5 N3 O7.25 -,
7123784,- C20 H17 N O5 -,
7124072,- C27 H24 Cl N3 O4 -,
7124768,- C58 H60 Cl6 N10 O14 -,
7125823,- C23 H17 N O3 -,
7126638,- C60 H70 Au F6 N6 O6 P -,
7126639,- C52 H60 Au F6 N4 O3 P -,
7126640,- C50 H62 Au F6 N4 O3 P -,
7127017,- C33 H28 Cl N3 O5 -,
7127214,- C21 H20 O4 -,
7127215,- C19 H17 N O4 -,
7127216,- C22 H16 O4 -,
7127217,- C24 H18 O4 -,
7127223,- C17 H21 N O7 -,
7127224,- C13 H12 O5 -,
7128097,- C25 H19 N O -,
7128129,- C24 H19 N3 O3 -,
7128391,- C16 H19 Br O -,
7128392,- C15 H18 O -,
7128658,- C23 H25 N O4 -,
7129146,- C17 H12 N2 O2 -,
7129561,- C26 H40 Mn2 N4 O3.5 Si2 -,
7129562,- C56 H88 Ca Mn3 N8 O8 Si4 -,
7129563,- C128 H220 Ca4 Mn5 N18 O17 Si12 -,
7129564,- C93.08 H138.16 Ca2 Mn4 N12 O15.27 Si4 -,
7129565,- C80 H112 Ca Mn5 N12 O12 Si4 -,
7129867,- C18 H15 N O -,
7129972,- C32 H34 N4 O8 -,
7130431,- C27 H19 Br N3 O4 -,
7130503,- C22 H19 Br O4 -,
7130523,- C28 H33 N O5 S -,
7130524,- C17 H20 O3 -,
7131624,- C35 H51 F6 N2 Nd O6 -,
7131625,- C42 H68 F3 N2 Nd O8 -,
7132300,- C18 H13 N O4 S -,
7132301,- C17 H13 N O2 -,
7132581,- C25 H26 O5 -,
7132800,- C33 H28 F3 N3 O2 -,
7132804,- C29 H19 N O5 -,
7132805,- C29 H18 O6 -,
7133043,- C12 H14 O4 -,
7133044,- C18 H18 O4 -,
7133045,- C15 H16 O4 -,
7133046,- C17 H18 O5 -,
7133177,- C29 H28 N0 O4 -,
7133178,- C23 H18 N2 O5 -,
7133179,- C15 H12 N4 O5 S -,
7133299,- C40 H41 Cl2 F9 N6 Ni2 O10 S3 -,
7133300,- C38 H57 F3 N6 Ni2 O17 S -,
7133301,- C74 H82 F6 N12 Ni4 O12 S2 -,
7133302,- C76 H82 F6 N12 Ni4 O16 S2 -,
7133581,- C27 H30 N2 O2 -,
7133582,- C35 H30 N2 O2 -,
7134071,- C14 H20 O2 S6 -,
7134072,- C14 H16 O S3 -,
7134073,- C20 H20 O2 S2 -,
7134919,- C26 H26 Cl2 O6 -,
7134920,- C16 H14 O4 -,
7150876,- C26 H28 O8 -,
7150951,- C28 H21 N O3 -,
7152094,- C24 H22 O6 S2 -,
7152307,- C30 H24 O5 -,
7153191,- C19 H17 N O5 S -,
7153426,- C18 H35 B K N3 O7 -,
7153427,- C28 H60 B2 K2 N2 O14 -,
7153428,- C17 H35 B N Na O8 -,
7153429,- C22 H36 B K N1.5 O7 -,
7153430,- C15 H32 B Na O8 -,
7153846,- C25 H25 Br O5 -,
7153847,- C24 H26 O4 -,
7153969,- C22 H19 N O4 -,
7153970,- C21 H26 O4 -,
7153971,- C29 H26 N2 O5 S -,
7153972,- C22 H23 N O7 S -,
7154123,- C38 H33 Cl N2 O6 -,
7154124,- C32 H29 F N2 O6 -,
7155031,- C25 H20 N O S -,
7155171,- C11 H16 O S2 -,
7156075,- C37 H35 Cl N2 O8 -,
7156216,- C29 H26 N2 O5 -,
7156505,- C18 H15 F3 N2 O3 -,
7156833,- C24 H26 N2 O6 -,
7157749,- C18 H17 N O4 S -,
7157863,- C19 H13 N O5 -,
7157926,- C17 H17 N O6 -,
7158073,- C31 H25 N O4 S -,
7158074,- C26 H23 N O4 S -,
7158075,- C32 H26 Cl N O6 S -,
7158270,- C20 H30 N4 O2 -,
7158271,- C21 H32 N4 O2 -,
7158284,- C21 H17 F3 O2 -,
7158307,- C36 H29 Cl N2 O5 S2 -,
7158308,- C36 H30 Cl N2 O5 S2 -,
7158309,- C36 H31 Cl N2 O5 S2 -,
7158310,- C36 H29 Cl N2 O5 S2 -,
7158311,- C36 H29 Cl N2 O7 S2 -,
7158312,- C36 H29 Cl N2 O7 S2 -,
7158313,- C36 H29 Cl N2 O5 S2 -,
7158711,- C37 H35 N3 Ni O4 -,
7158725,- C27 H30 N2 O5 -,
7158784,- C12 H12 Br N3 O -,
7158812,- C18 H16 N2 O2 -,
7158813,- C29 H29 N3 O6 S -,
7158839,- C32 H29 N3 O5 -,
7158840,- C31 H26 Cl N3 O5 -,
7158841,- C33 H30 Cl3 N3 O5 -,
7158842,- C30 H24 Cl N3 O5 -,
7158843,- C29 H21 Cl N4 O3 -,
7158844,- C32 H26 N4 O5 -,
7158845,- C29 H28 N4 O5 -,
7158846,- C29 H28 N4 O5 -,
7159490,- C31 H27 N O4 S -,
7159529,- C25 H21 N3 O4 S -,
7159530,- C43 H36 Cl5 N4 O5 -,
7159578,- C17 H16 Br N O6 -,
7159579,- C19 H21 N O8 -,
7159588,- C27 H25 Cl N2 O4 S -,
7159638,- C11 H11 N O4 S -,
7159778,- C20 H16 O4 -,
7159859,- C22 H20 Cl O2 P -,
7160133,- C26 H28 N2 O6 -,
7160693,- C29 H25 N O3 -,
7205428,- C18 H4 F10 O6 -,
7205429,- C18 H4 F10 O6 -,
7205430,- C18 H12 F2 O6 -,
7205431,- C18 H6 F10 N2 O4 -,
7205432,- C20 H4 F10 O6 -,
7207319,- C4 H12 Cu N6 O6 -,
7207320,- C4 H12 Cu N6 O6 -,
7207321,- C4 H12 Cu N6 O6 -,
7207322,- C4 H12 Cu N6 O6 -,
7208024,- C5 H6 O4 -,
7208025,- C8 H8 O7 -,
7209961,- C12 H72 Co4 K O72 Ru6 -,
7209962,- C4 H20 Co K O22 Ru2 -,
7209963,- C4 H10 Co K O17 Ru2 -,
7210009,- C20 H14 O6 -,
7210010,- C20 H8 F6 O6 -,
7210011,- C20 H12 F2 O6 -,
7210012,- C20 H12 F2 O6 -,
7210013,- C20 H12 F2 O6 -,
7210919,- C8 H11 N4 Na O8 -,
7210920,- C12 H16 K2 N6 O12 -,
7210921,- C8 H11 K N4 O8 -,
7210971,- C4 H4 Cl2 Cu K2 Li O19 Ru2 -,
7210972,- C4 H4 Br2 Cu K2 Li O19 Ru2 -,
7211319,- C25 H20 Cl6 Fe N O4 -,
7212125,- C8 H14 N2 O3 -,
7212126,- C7 H14 N2 O4 -,
7212127,- C7 H15 N O3 -,
7216555,- C63 H132 Ag20 N2 O23 S10 -,
7218341,- C26 H18 Cu N2 O10 -,
7220673,- C30 H28 N2 O5 S -,
7220674,- C41 H49 Br Cl2 N2 O5 S -,
7220978,- C34 H74 O6 P2 -,
7221978,- C4 H6 O4 -,
7222815,- C4 H5 K2 Na O14 Zn2 -,
7222817,- C4 H5 Na O14 Rb2 Zn2 -,
7223441,- C23 H26 N2 O2 -,
7225437,- C19 H16 Cl N O5 -,
7227222,- C14 H9 Br F2 O3 -,
7230382,- C8 H10 O7 -,
7231742,- C50 H42 Eu2 N8 O14 -,
7231743,- C23 H16 N5 O7 Tb -,
7231744,- C50 H42 N8 O14 Tb2 -,
7231745,- C50 H42 Dy2 N8 O14 -,
7234809,- C13 H16 O10 -,
7234810,- C9 H8 O9 -,
7234811,- C13 H16 O10 -,
7234812,- C6 H6 O6 -,
7234813,- C15 H17 Cl3 O10 -,
7237249,- C26 H18 Co N4 O6 -,
7238781,- C77 H93 Cd2 N7 Ni2 O19 -,
7239339,- C34 H28 O6 -,
7239340,- C35 H30 Cl2 O6 -,
7239341,- C38 H36 O7 -,
7240092,- C34 H49 F6 Ir2 N4 O10.5 S2 Si4 -,
7240140,- C16 H15 N3 O2 -,
7240141,- C16 H17 N5 O2 -,
7240142,- C30 H29 N3 O4 -,
7240659,- C20 H34 O6 -,
7241087,- C44 H36 Ir2 N8 Na2 O23 S4 -,
7241931,- C18 H16 O4 -,
7244542,- C15 H20 O4 -,
7244543,- C16 H20 O5 S -,
7244544,- C16 H20 O6 -,
7244545,- C15 H20 O3 S -,
7245376,- C27 H28 Cl N3 O3 -,
7245721,- C2 H2 Eu O6 -,
7245956,- C38 H29 N O -,
7246992,- C21 H18 N2 O3 -,
7248101,- C10 H10 N2 O -,
7248756,- C18 H24 N6 O3 -,
7248923,- C29 H32 N14 O7 Pb2 -,
7249496,- C103 H69 Ca5 F9 O36 -,
7249924,- C78 H55 N6 O8 Yb2 -,
7249925,- C176 H144 Cl4 N18 O22 Yb4 -,
7250441,- C18 H16 O3 -,
7250515,- C19 H14 N2 O4 S2 -,
7250516,- C12 H11 N O3 -,
7250573,- C21 H25 Br O3 -,
7250574,- C23 H28 O3 -,
7250575,- C29 H31 Br O3 -,
7250576,- C58 H58 Br2 O6 -,
7250577,- C68 H62 O6 -,
7700396,- C222 H282 N30 O66 Zr6 -,
7701052,- C37 H59 Fe N2 O5 -,
7701053,- C38 H59 Fe N2 O4 -,
7701054,- C28 H37 Fe N2 O4 -,
7701055,- C40 H61 Fe N2 O4 -,
7701056,- C42 H61 Fe N2 O5 -,
7701057,- C30 H42.4 Fe N2 O5.3 -,
7701058,- C34 H49 Fe N2 O4 -,
7701059,- C38 H57 Fe N2 O4 -,
7702623,- C25 H30 Cu N4 O10 -,
7702624,- C25 H38 Cu N4 O14 -,
7702625,- C49 H40.5 Cl2 Cu2 N8 O15.25 -,
7702626,- C52 H41 Cl2 Cu2 N9 O13 -,
7702627,- C41 H48 N10 O17 Zn2 -,
7702721,- C74 H94 B2 F8 N10 O16 Zn4 -,
7703290,- C57 H66 Dy2 F12 N4 O19 Zn2 -,
7703291,- C57 H66 Eu2 F12 N4 O19 Zn2 -,
7703292,- C57 H66 F12 Gd2 N4 O19 Zn2 -,
7705532,- C24 H10 B F15 O2 -,
7705533,- C23 H8 B F15 O2 -,
7705534,- C22 H6 B F15 O3 -,
7705535,- C21 H4 B F15 O3 -,
7705536,- C21 H6 B F15 O -,
7705537,- C42 H8 B2 F30 O4 -,
7705538,- C22 H6 B F15 O2 -,
7705694,- C22 H46 N2 O2 S4 Zn -,
7705695,- C21 H35 N O2 S4 Zn -,
7705757,- C12 H44 Cd3 Cs3 O58 Ru6 -,
7706436,- C4 H21 Cr2 Na3 O22 -,
7708149,- C39 H34.5 N1.5 O3 P2 -,
7708153,- C14 H39 N7 O3 P2 -,
7708313,- C H4 B Gd O7 -,
7710643,- C36 H64 Al3 N5 O -,
7710644,- C27 H45 Al2 N5 O -,
7712091,- C4 H20 Na4 O22 Ru2 -,
7712374,- C36 H46 Br Ga N2 O2 -,
7712375,- C36 H46 Ga I N2 O2 -,
7712558,- C20 H24 Cl Co N4 O4 -,
7713205,- C15 H18 N O P -,
7713424,- C27 H56 N9 Nd4 O27 -,
7713425,- C54 H112 N18 O54 Sm8 -,
7713662,- C101.7 H181.2 Gd4 N16 O40.9 -,
7713663,- C98.1 H174.8 Eu4 N15 O38.8 -,
7713664,- C97.4 H169.6 N16 O39.4 Sm4 -,
7713665,- C98.38 H173.92 Gd4 N15 O38.08 -,
7713666,- C99.9 H179.6 Eu4 N16 O41.9 -,
7714402,- C66 H104 Cr2 N2 O8 -,
7714857,- C28 H22 Co N2 O7 -,
7714858,- C28 H22 N2 O7 Zn -,
7715050,- C10 H32 N4 O16 Ru2 -,
7715051,- C14 H56 N4 O22 Ru2 -,
7715053,- C2 H24 Ni2 O22 Ru2 -,
7715055,- C2 H28 Mg2 O24 Ru2 -,
7715056,- C12 H36 N4 O14 Ru2 -,
7717211,- C27 H34 Co N9 O8.5 -,
7718976,- C17 H19.8 Ce N4 O11 -,
8000449,- C5 H3 K O3 -,
8101272,- C42 H40 O6 Ti4 -,
8101434,- C H Dy O4 -,
8102061,- C22 H27 Co N4 O11 -,
8102382,- C11 H19 N O3 -,
8102747,- C30 H45 Cu2 N4 O10 -,
8103659,- C H2 Na2 O4 -,
8103845,- C1.58 H9.04 Al6 Na7.66 O32.76 Si6 -,
8103847,- C1.4 H5.76 Al6 Na7.6 O30.48 Si6 -,
8104602,- C19 H21 O8.5 -,
8104673,- C10 H18 O5 -,
8104811,- C9 H24 N2 O7 -,
8105654,- C21 H30 N24 O33 -,
8106146,- C17 H56 B2 N2 O14 -,
8106329,- C29 H24 Bi2 O5 -,
8106382,- C8 H6 Br F O2 S -,
8106651,- C13 H29 N O3 -,
8106725,- C21.5 H64 N19 O10.5 -,
8106728,- C10 H30 N4 O5 -,
8107488,- C15 H36 N5 O3.5 S -,
9003042,- C2 H12 Ca O20 U3 -,
9003549,- C0.01 H1.3 Ca5 O13.072 P3 -,
9004162,- C0.76 H0.99 Al3 Ca0.75 Na3.01 O15.27 Si3 -,
9004504,- C H15 Na O12 Y -,
9004550,- C16 H8 Ce0.152 Dy0.782 Er0.226 Eu0.188 Gd0.678 Nd0.767 O135 Sm0.678 Tb0.112 U16 Y4.22 -,
9004610,- C2 H4.89 Ce0.01 Dy0.06 Er0.05 Gd0.04 Ho0.02 Na Nd0.03 O12 Sm0.02 Tb0.01 Tm0.01 Y0.72 Yb0.02 -,
9004772,- C8 H22 Cl1.5 Cu12 K2.5 Na O40 -,
9004960,- C H4 Ca7 O23 Si6 -,
9007656,- C2 H5 Na3 O8 -,
9007657,- C2 H5 Na3 O8 -,
9007681,- C4 H3 Na5 O12 -,
9007907,- C2 H6 K4 O9 -,
9009476,- C H5 Na2 O10 P Zr -,
9009498,- C2 H6 B4 Ca4 Mg O18 -,
9009518,- C3 H2 O12 Pb5 -,
9009554,- C6 H12 Ba Na6 O24 Th -,
9010242,- C H K O3 -,
9010983,- C2 H2 O8 Pb3 -,
9011048,- C H Na O3 -,
9011813,- C2 H Na O7 Pb2 -,
9011886,- C15 H4 Ba Cl Dy0.4 F2 Gd0.5 Na25 O53 S2 Y1.1 -,
9012058,- C H Nd O4 -,
9012504,- C3 H16 La2 O17 -,
9012548,- C H Nd O4 -,
9013306,- C H2.92 Be Ca0.09 Na0.9 O5 -,
9013968,- C0.38 H6.92 As0.3 Mg6.68 O18.62 P3.32 -,
9014502,- C3 H2 K2.463 Na1.537 O12 U -,
9014569,- C24 H48 Ca12 K7.11 O112 U8 -,
9016372,- C2 H2 Al1.7 Ba2 Ca F0.66 O18 Si2.98 V1.323 -,
9016453,- C3 H2 K3 Na O12 U -,
9017038,- C H O4.926 Pb0.926 U0.5 -,
9017039,- C H O4.824 Pb0.824 U0.5 -,
9017172,- C2 H2 Li2 Na6 O34 P6 Y3 Zr3 -,
9017418,- C2 H Na O7 Pb2 -,
9017728,- C13 H42 Ca8 Na2 O74.148 U4 -,
9017813,- C H12 Ca2 Mg3 Na O21 P3 -,
